PUSH  FIND  POP
6516     536     1117     
6524     537     1119     
6532     538     1121     
6540     539     1123     
6548     540     1125     
6556     541     1126     
6563     542     1128     
6570     543     1129     
6577     543     1130     
6584     544     1132     
6592     544     1134     
6600     544     1136     
6617     545     1138     
6624     546     1140     
6631     547     1142     
6638     548     1144     
6655     548     1146     
6664     548     1148     
6671     549     1149     
6690     549     1151     
6697     550     1152     
6704     551     1153     
6710     552     1154     
6728     552     1155     
6735     553     1156     
6741     554     1157     
6748     554     1158     
6767     554     1159     
6774     555     1160     
6780     556     1162     
6786     556     1163     
6793     557     1164     
6799     558     1165     
6805     558     1166     
6812     559     1167     
6818     560     1168     
6824     561     1170     
6830     561     1171     
6836     561     1172     
6843     561     1173     
6850     562     1174     
6856     563     1175     
6862     563     1176     
6869     564     1177     
6875     564     1178     
6882     565     1179     
6888     565     1180     
6895     566     1181     
6901     566     1182     
6908     567     1183     
6914     568     1184     
6920     568     1185     
6926     568     1186     
6933     569     1187     
6939     570     1189     
6946     571     1190     
6952     571     1191     
6959     571     1192     
6966     571     1193     
6973     572     1194     
6980     573     1195     
6986     573     1196     
6993     574     1197     
6999     574     1198     
7005     574     1199     
7012     574     1200     
7019     575     1201     
7025     576     1202     
7031     577     1203     
7037     577     1204     
7044     577     1205     
7051     578     1206     
7058     579     1207     
7064     579     1208     
7071     580     1209     
7077     581     1210     
7083     581     1211     
7090     582     1212     
7097     583     1213     
7103     584     1214     
7109     584     1215     
7116     584     1216     
7122     584     1217     
7129     585     1218     
7135     586     1220     
7141     587     1221     
7147     587     1222     
7153     588     1223     
7159     588     1224     
7166     588     1225     
7172     588     1226     
7179     589     1227     
7185     589     1228     
7192     590     1229     
7198     591     1230     
7204     592     1231     
7210     592     1232     
7217     593     1233     
7223     594     1234     
7229     595     1235     
7235     595     1236     
7242     596     1237     
7248     596     1238     
7255     597     1239     
7261     598     1240     
7268     599     1241     
7274     600     1243     
7280     600     1244     
7286     600     1245     
7293     601     1246     
7299     601     1247     
7306     602     1248     
7312     603     1249     
7318     603     1250     
7325     604     1251     
7331     604     1252     
7338     605     1253     
7344     605     1254     
7351     606     1255     
7357     607     1256     
7363     607     1257     
7370     608     1259     
7377     609     1261     
7383     610     1262     
7389     610     1264     
7396     611     1265     
7402     612     1266     
7408     612     1267     
7414     612     1268     
7420     612     1269     
7427     613     1270     
7433     614     1271     
7439     615     1272     
7445     615     1273     
7452     616     1274     
7458     617     1275     
7464     617     1276     
7471     618     1278     
7478     619     1279     
7485     620     1280     
7490     620     1281     
7496     620     1283     
7502     620     1284     
7509     620     1285     
7515     620     1286     
7521     621     1288     
7527     621     1289     
7534     621     1290     
7540     621     1291     
7547     622     1292     
7553     623     1293     
7559     624     1295     
7565     624     1296     
7572     625     1297     
7578     626     1298     
7584     626     1299     
7590     626     1300     
7597     627     1301     
7603     628     1303     
7610     628     1304     
7617     629     1305     
7624     630     1306     
7629     630     1307     
7636     631     1308     
7642     631     1309     
7649     632     1310     
7655     633     1311     
7661     634     1313     
7667     634     1314     
7674     635     1315     
7680     635     1316     
7687     636     1317     
7694     637     1318     
7700     637     1319     
7707     638     1320     
7713     639     1321     
7719     639     1322     
7726     639     1323     
7733     639     1324     
7739     639     1325     
7745     639     1326     
7752     640     1327     
7758     640     1329     
7765     641     1330     
7771     642     1332     
7777     643     1334     
7783     643     1335     
7790     644     1336     
7795     644     1337     
7802     644     1338     
7809     645     1339     
7815     646     1341     
7821     646     1342     
7827     646     1343     
7834     647     1344     
7840     647     1345     
7846     647     1346     
7853     648     1347     
7859     648     1348     
7865     648     1349     
7872     649     1350     
7878     650     1351     
7884     650     1352     
7891     651     1353     
7897     652     1354     
7903     652     1355     
7910     652     1356     
7917     653     1357     
7923     653     1358     
7930     653     1359     
7937     653     1360     
7944     654     1361     
7951     654     1362     
7958     654     1363     
7965     655     1364     
7970     655     1365     
7977     656     1366     
7983     657     1367     
7990     658     1368     
7996     658     1369     
8003     659     1370     
8009     660     1371     
8016     660     1372     
8022     660     1373     
8029     661     1374     
8034     661     1375     
8041     662     1376     
8047     663     1378     
8054     664     1379     
8061     665     1380     
8068     666     1381     
8074     667     1382     
8080     667     1383     
8087     668     1384     
8093     669     1386     
8099     669     1387     
8106     670     1389     
8112     670     1390     
8119     671     1391     
8125     672     1393     
8131     672     1394     
8138     673     1395     
8144     674     1396     
8151     675     1397     
8157     676     1398     
8163     676     1399     
8169     676     1400     
8176     677     1401     
8182     677     1402     
